# Cyber Attack / Search & Destroy per-map bomb data, harvested from UberMod v8 map scripts.
# Consumed by docs/tools/gen_cybersnd_maps.py. Do NOT hand-edit; re-harvest from source.
# map	m1l1	modes	cyb snd
m5l3	snd	bombsite	( -6709 -4388 36 ) 90
m5l3	snd	bombsite	( 2917 -3727 504 ) 90
m5l3	snd	bombsite	( 883 5888 384 ) 0
m5l3	snd	bombsite	( 3004 5156 238 ) 180
m5l3	snd	bomb	( 832 3392 306 ) 180 ( -645 -1756 392 ) 180 ( 0 0 0 ) 0
m5l3	snd	bombsite	( -6709 -4388 36 ) 90
m5l3	snd	bombsite	( 2917 -3727 504 ) 90
m5l3	snd	bombsite	( 883 5888 384 ) 0
m5l3	snd	bombsite	( 3004 5156 238 ) 180
# map	m6l1a	modes	cyb snd
m6l1a	cyb	set	round_starttime = 8
m6l1a	cyb	set	rounds_towin = 6
m6l1a	cyb	set	changesides = 0
m6l1a	cyb	set	keepsamesides = 1
m6l1a	cyb	set	bombcamera = 1
m6l1a	cyb	bombsite	( -3555 418 5455 ) -58 axis
m6l1a	cyb	bombsite	( 6110 -6719 5422 ) 71 allies
m6l1a	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 4119 4075 5900 ) -90
m6l1a	snd	set	round_starttime = 8
m6l1a	snd	set	rounds_towin = 6
m6l1a	snd	set	changesides = 0
m6l1a	snd	set	bombcamera = 1
m6l1a	snd	bombsite	( -3555 418 5455 ) -58
m6l1a	snd	bombsite	( 4524 5226 5388 ) -105
m6l1a	snd	bombsite	( 6110 -6719 5422 ) 71
m6l1a	snd	bombsite	( 6379 3876 5351 ) 164
m6l1a	snd	bomb	( 5833 -6253 5362 ) -152 ( -2537 884 5361 ) -92 ( 0 0 0 ) 0
m6l1a	snd	bombsite	( -3555 418 5455 ) -58
m6l1a	snd	bombsite	( 4524 5226 5388 ) -105
m6l1a	snd	bombsite	( 6110 -6719 5422 ) 71
m6l1a	snd	bombsite	( 6379 3876 5351 ) 164
# map	m6l1b	modes	cyb snd
m6l1b	cyb	set	round_starttime = 8
m6l1b	cyb	set	rounds_towin = 6
m6l1b	cyb	set	changesides = 0
m6l1b	cyb	set	keepsamesides = 1
m6l1b	cyb	set	bombcamera = 1
m6l1b	cyb	bombsite	( -4613 -7631 1829 ) 90 axis
m6l1b	cyb	bombsite	( 1300 2623 1785 ) 105 allies
m6l1b	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -5170 -908 1933 ) 55
m6l1b	snd	set	round_starttime = 8
m6l1b	snd	set	rounds_towin = 6
m6l1b	snd	set	changesides = 0
m6l1b	snd	set	bombcamera = 1
m6l1b	snd	bombsite	( -4613 -7631 1829 ) 90
m6l1b	snd	bombsite	( -2538 -4895 1744 ) -60
m6l1b	snd	bombsite	( 1300 2623 1785 ) 105
m6l1b	snd	bombsite	( -5614 3298 1744 ) 45
m6l1b	snd	bomb	( 338 2143 1752 ) 135 ( -2783 -6191 1709 ) 21 ( 0 0 0 ) 0
m6l1b	snd	bombsite	( -4613 -7631 1829 ) 90
m6l1b	snd	bombsite	( -2538 -4895 1744 ) -60
m6l1b	snd	bombsite	( 1300 2623 1785 ) 105
m6l1b	snd	bombsite	( -5614 3298 1744 ) 45
# map	m6l1c	modes	cyb snd
m6l1c	cyb	set	round_starttime = 8
m6l1c	cyb	set	rounds_towin = 6
m6l1c	cyb	set	changesides = 0
m6l1c	cyb	set	keepsamesides = 1
m6l1c	cyb	set	bombcamera = 1
m6l1c	cyb	bombsite	( 4644 4921 -719 ) 180 axis
m6l1c	cyb	bombsite	( 1760 1418 -543 ) 180 allies
m6l1c	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 1954 4049 -567 ) 0
m6l1c	snd	set	round_starttime = 8
m6l1c	snd	set	rounds_towin = 6
m6l1c	snd	set	changesides = 0
m6l1c	snd	set	bombcamera = 1
m6l1c	snd	bombsite	( 4644 4921 -719 ) 180
m6l1c	snd	bombsite	( 4891 1870 4 ) 0
m6l1c	snd	bombsite	( 1760 1418 -543 ) 180
m6l1c	snd	bombsite	( 894 1228 -63 ) -90
m6l1c	snd	bomb	( -1808 1429 25 ) -90 ( 4358 299 0 ) 0 ( 0 0 0 ) 0
m6l1c	snd	bombsite	( 4644 4922 -719 ) 180
m6l1c	snd	bombsite	( 4891 1870 4 ) 0
m6l1c	snd	bombsite	( 1760 1418 -543 ) 180
m6l1c	snd	bombsite	( 894 1228 -63 ) -90
# map	m6l2a	modes	cyb snd
m6l2a	cyb	set	round_starttime = 8
m6l2a	cyb	set	rounds_towin = 6
m6l2a	cyb	set	changesides = 0
m6l2a	cyb	set	keepsamesides = 1
m6l2a	cyb	set	bombcamera = 1
m6l2a	cyb	bombsite	( 2339 -2926 128 ) 180 axis
m6l2a	cyb	bombsite	( -6108 -5112 0 ) 180 allies
m6l2a	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -2928 780 0 ) -90
m6l2a	snd	set	round_starttime = 8
m6l2a	snd	set	rounds_towin = 6
m6l2a	snd	set	changesides = 0
m6l2a	snd	set	bombcamera = 1
m6l2a	snd	bombsite	( 2339 -2926 128 ) 180
m6l2a	snd	bombsite	( -3611 111 0 ) 180
m6l2a	snd	bombsite	( -6108 -5112 0 ) 180
m6l2a	snd	bombsite	( -3484 -617 0 ) 180
m6l2a	snd	bomb	( -3845 -3344 0 ) 180 ( 1019 -2604 120 ) 135 ( 0 0 0 ) 0
m6l2a	snd	bombsite	( 2339 -2926 128 ) 180
m6l2a	snd	bombsite	( -3611 111 0 ) 180
m6l2a	snd	bombsite	( -6108 -5112 0 ) 180
m6l2a	snd	bombsite	( -3484 -617 0 ) 180
# map	m6l2b	modes	cyb snd
m6l2b	cyb	set	round_starttime = 8
m6l2b	cyb	set	rounds_towin = 6
m6l2b	cyb	set	changesides = 0
m6l2b	cyb	set	keepsamesides = 1
m6l2b	cyb	set	bombcamera = 1
m6l2b	cyb	bombsite	( 4708 5953 240 ) 0 axis
m6l2b	cyb	bombsite	( 739 -7492 284 ) 180 allies
m6l2b	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( 7308 -18 -127 ) 0
m6l2b	snd	set	round_starttime = 8
m6l2b	snd	set	rounds_towin = 6
m6l2b	snd	set	changesides = 0
m6l2b	snd	set	bombcamera = 1
m6l2b	snd	bombsite	( 4708 5953 240 ) 0
m6l2b	snd	bombsite	( 6488 7225 76 ) 180
m6l2b	snd	bombsite	( 739 -7492 284 ) 180
m6l2b	snd	bombsite	( -1348 -4220 175 ) 0
m6l2b	snd	bomb	( 287 -6849 136 ) 180 ( 5910 6128 -31 ) -90 ( 0 0 0 ) 0
m6l2b	snd	bombsite	( 4708 5953 240 ) 0
m6l2b	snd	bombsite	( 6488 7225 76 ) 180
m6l2b	snd	bombsite	( 739 -7492 284 ) 180
m6l2b	snd	bombsite	( -1348 -4220 175 ) 0
# map	mohdm1	modes	cyb snd
mohdm1	cyb	set	round_starttime = 8
mohdm1	cyb	set	rounds_towin = 5
mohdm1	cyb	set	changesides = 0
mohdm1	cyb	set	bombcamera = 1
mohdm1	cyb	bombsite	( -1210 485 168 ) -90 axis
mohdm1	cyb	bombsite	( 1297 2461 672 ) 90 allies
mohdm1	cyb	bomb	( -153 1445 96 ) 180 ( -153 1445 96 ) 180 ( -153 1445 96 ) -90
mohdm1	snd	set	round_starttime = 8
mohdm1	snd	set	rounds_towin = 5
mohdm1	snd	set	changesides = 0
mohdm1	snd	set	bombcamera = 1
mohdm1	snd	bombsite	( -1210 485 168 ) -90 axis
mohdm1	snd	bombsite	( 1297 2461 672 ) 90 allies
mohdm1	snd	bomb	( -153 1445 96 ) 180 ( -153 1445 96 ) 180 ( -153 1445 96 ) -90
# map	mohdm2	modes	cyb snd
mohdm2	cyb	set	round_starttime = 8
mohdm2	cyb	set	rounds_towin = 5
mohdm2	cyb	set	changesides = 0
mohdm2	cyb	set	bombcamera = 1
mohdm2	cyb	bombsite	( -2607 1826 216 ) -90 axis
mohdm2	cyb	bombsite	( -1780 -3450 5 ) 0 allies
mohdm2	cyb	bomb	( -695.5 -332 169 ) 180 ( -695.5 -332 169 ) 180 ( -695.5 -332 169 ) 270
mohdm2	snd	set	round_starttime = 8
mohdm2	snd	set	rounds_towin = 5
mohdm2	snd	set	changesides = 0
mohdm2	snd	set	bombcamera = 1
mohdm2	snd	bombsite	( -2607 1826 216 ) -90 axis
mohdm2	snd	bombsite	( -1780 -3450 5 ) 0 allies
mohdm2	snd	bomb	( -695.5 -332 169 ) 180 ( -695.5 -332 169 ) 180 ( -695.5 -332 169 ) 270
# map	mohdm3	modes	cyb snd
mohdm3	cyb	set	round_starttime = 8
mohdm3	cyb	set	rounds_towin = 5
mohdm3	cyb	set	changesides = 0
mohdm3	cyb	set	bombcamera = 1
mohdm3	cyb	bombsite	( 5025 -3268 278 ) 90 axis
mohdm3	cyb	bombsite	( 1110 191 162 ) 180 allies
mohdm3	cyb	bomb	( 2465 -2627.5 8 ) -90 ( 2465 -2627.5 8 ) -90 ( 2465 -2627.5 8 ) 0
mohdm3	snd	set	round_starttime = 8
mohdm3	snd	set	rounds_towin = 5
mohdm3	snd	set	changesides = 0
mohdm3	snd	set	bombcamera = 1
mohdm3	snd	bombsite	( 5025 -3268 278 ) 90 axis
mohdm3	snd	bombsite	( 1110 191 162 ) 180 allies
mohdm3	snd	bomb	( 2465 -2627.5 8 ) -90 ( 2465 -2627.5 8 ) -90 ( 2465 -2627.5 8 ) 0
# map	mohdm4	modes	cyb snd
mohdm4	cyb	set	round_starttime = 8
mohdm4	cyb	set	rounds_towin = 5
mohdm4	cyb	set	changesides = 0
mohdm4	cyb	set	bombcamera = 1
mohdm4	cyb	bombsite	( -690 3589 652 ) 0 axis
mohdm4	cyb	bombsite	( 400 -1299 480 ) 90 allies
mohdm4	cyb	bomb	( 717 1134 132 ) 300 ( 717 1134 132 ) 300 ( 717 1134 132 ) 30
mohdm4	snd	set	round_starttime = 8
mohdm4	snd	set	rounds_towin = 5
mohdm4	snd	set	changesides = 0
mohdm4	snd	set	bombcamera = 1
mohdm4	snd	bombsite	( -690 3589 652 ) 0 axis
mohdm4	snd	bombsite	( 400 -1299 480 ) 90 allies
mohdm4	snd	bomb	( 717 1134 132 ) 300 ( 717 1134 132 ) 300 ( 717 1134 132 ) 30
# map	mohdm5	modes	cyb snd
mohdm5	cyb	set	round_starttime = 8
mohdm5	cyb	set	rounds_towin = 5
mohdm5	cyb	set	changesides = 0
mohdm5	cyb	set	bombcamera = 1
mohdm5	cyb	bombsite	( 4162 -2835 182 ) 180 axis
mohdm5	cyb	bombsite	( -1347 -6145 189 ) 0 allies
mohdm5	cyb	bomb	( 2128 -4688 240 ) 180 ( 2128 -4688 240 ) 180 ( 2128 -4688 240 ) -90
mohdm5	snd	set	round_starttime = 8
mohdm5	snd	set	rounds_towin = 5
mohdm5	snd	set	changesides = 0
mohdm5	snd	set	bombcamera = 1
mohdm5	snd	bombsite	( 4162 -2835 182 ) 180 axis
mohdm5	snd	bombsite	( -1347 -6145 189 ) 0 allies
mohdm5	snd	bomb	( 2128 -4688 240 ) 180 ( 2128 -4688 240 ) 180 ( 2128 -4688 240 ) -90
# map	mohdm6	modes	cyb snd
mohdm6	cyb	set	round_starttime = 8
mohdm6	cyb	set	rounds_towin = 5
mohdm6	cyb	set	changesides = 0
mohdm6	cyb	set	bombcamera = 1
mohdm6	cyb	set	cameradistance = 145
mohdm6	cyb	bombsite	( 335 1075 512 ) -90 axis
mohdm6	cyb	bombsite	( -573 -547 272 ) 180 allies
mohdm6	cyb	bomb	( 251 145 87 ) 180 ( 251 145 87 ) 180 ( 251 145 87 ) -90
mohdm6	snd	set	round_starttime = 8
mohdm6	snd	set	rounds_towin = 5
mohdm6	snd	set	changesides = 0
mohdm6	snd	set	bombcamera = 1
mohdm6	snd	set	cameradistance = 145
mohdm6	snd	bombsite	( 335 1075 512 ) -90 axis
mohdm6	snd	bombsite	( -573 -547 272 ) 180 allies
mohdm6	snd	bomb	( 251 145 87 ) 180 ( 251 145 87 ) 180 ( 251 145 87 ) -90
# map	mohdm7	modes	cyb snd
mohdm7	cyb	set	round_starttime = 8
mohdm7	cyb	set	rounds_towin = 5
mohdm7	cyb	set	changesides = 0
mohdm7	cyb	set	bombcamera = 1
mohdm7	cyb	set	cameradistance = 185
mohdm7	cyb	bombsite	( -3136 1116 264 ) 90 axis
mohdm7	cyb	bombsite	( 2017 -1134 24 ) 180 allies
mohdm7	cyb	bomb	( -1327 135 -91 ) 90 ( -1327 135 -91 ) 90 ( -1327 135 -91 ) 180
mohdm7	snd	set	round_starttime = 8
mohdm7	snd	set	rounds_towin = 5
mohdm7	snd	set	changesides = 0
mohdm7	snd	set	bombcamera = 1
mohdm7	snd	set	cameradistance = 185
mohdm7	snd	bombsite	( -3136 1116 264 ) 90 axis
mohdm7	snd	bombsite	( 2017 -1134 24 ) 180 allies
mohdm7	snd	bomb	( -1327 135 -91 ) 90 ( -1327 135 -91 ) 90 ( -1327 135 -91 ) 180
# map	obj_team1	modes	cyb snd
obj_team1	cyb	set	round_starttime = 8
obj_team1	cyb	set	rounds_towin = 6
obj_team1	cyb	set	changesides = 0
obj_team1	cyb	set	keepsamesides = 1
obj_team1	cyb	set	bombcamera = 1
obj_team1	cyb	set	cameradistance = 120
obj_team1	cyb	bombsite	( 1258 -744 -279 ) 180 axis
obj_team1	cyb	bombsite	( 1288 4385 -224 ) 90 allies
obj_team1	cyb	bomb	( 1102 5113 -214 ) 42 ( 2182 -325 -159 ) 134 ( 4487 2958 -239 ) -157
obj_team1	snd	set	round_starttime = 8
obj_team1	snd	set	rounds_towin = 6
obj_team1	snd	set	changesides = 0
obj_team1	snd	set	bombcamera = 1
obj_team1	snd	set	cameradistance = 120
obj_team1	snd	bombsite	( 4370 2202 -79 ) 180 axis
obj_team1	snd	bombsite	( 5573 3015 -289 ) -165 allies
obj_team1	snd	bomb	( 1102 5113 -214 ) 42 ( 2182 -325 -159 ) 134 ( 4487 2958 -239 ) -157
# map	obj_team2	modes	cyb snd
obj_team2	cyb	set	round_starttime = 8
obj_team2	cyb	set	rounds_towin = 6
obj_team2	cyb	set	changesides = 0
obj_team2	cyb	set	keepsamesides = 1
obj_team2	cyb	set	bombcamera = 1
obj_team2	cyb	bombsite	( 2738 2815 0 ) 180 axis
obj_team2	cyb	bombsite	( -728 735 -447 ) 90 allies
obj_team2	cyb	bomb	( -1730 914 -395 ) 180 ( 1455 2834 50 ) 0 ( -153 1445 96 ) -90
obj_team2	snd	set	round_starttime = 8
obj_team2	snd	set	rounds_towin = 6
obj_team2	snd	set	changesides = 0
obj_team2	snd	set	bombcamera = 1
obj_team2	snd	bombsite	( 53 1470 8 ) 90 axis
obj_team2	snd	bombsite	( 1478 452 0 ) 180 allies
obj_team2	snd	bomb	( -1730 914 -395 ) 180 ( 1455 2834 50 ) 0 ( -153 1445 96 ) -90
# map	obj_team3	modes	cyb snd
obj_team3	cyb	set	round_starttime = 8
obj_team3	cyb	set	rounds_towin = 6
obj_team3	cyb	set	changesides = 0
obj_team3	cyb	set	keepsamesides = 1
obj_team3	cyb	set	bombcamera = 1
obj_team3	cyb	bombsite	( -1185 -535 256 ) -90 axis
obj_team3	cyb	bombsite	( -1248 -4525 -459 ) -90 allies
obj_team3	cyb	bomb	( 368 -4459 -459 ) 180 ( 727 1991 368 ) 150 ( 2481 -113 -571 ) -45
obj_team3	snd	set	round_starttime = 8
obj_team3	snd	set	rounds_towin = 6
obj_team3	snd	set	changesides = 0
obj_team3	snd	set	bombcamera = 1
obj_team3	snd	bombsite	( 1693 -27 -127 ) 180 axis
obj_team3	snd	bombsite	( 737 -1022 -311 ) 90 allies
obj_team3	snd	bomb	( 368 -4459 -459 ) 180 ( 727 1991 368 ) 150 ( 2481 -113 -571 ) -45
# map	obj_team4	modes	cyb snd
obj_team4	cyb	set	round_starttime = 8
obj_team4	cyb	set	rounds_towin = 6
obj_team4	cyb	set	changesides = 0
obj_team4	cyb	set	keepsamesides = 1
obj_team4	cyb	set	bombcamera = 1
obj_team4	cyb	bombsite	( -690 3589 652 ) 0 axis
obj_team4	cyb	bombsite	( 400 -1299 480 ) 90 allies
obj_team4	cyb	bomb	( -582 -2075 337 ) 180 ( -1714 2876 184 ) -90 ( 717 1134 132 ) 30
obj_team4	snd	set	round_starttime = 8
obj_team4	snd	set	rounds_towin = 6
obj_team4	snd	set	changesides = 0
obj_team4	snd	set	bombcamera = 1
obj_team4	snd	bombsite	( -1214 1069 608 ) 180 axis
obj_team4	snd	bombsite	( 1227 1362 72 ) -90 allies
obj_team4	snd	bomb	( -582 -2075 337 ) 180 ( -1714 2876 184 ) -90 ( 717 1134 132 ) 30
# map	training	modes	cyb snd
training	cyb	set	round_starttime = 8
training	cyb	set	rounds_towin = 6
training	cyb	set	changesides = 0
training	cyb	set	keepsamesides = 1
training	cyb	set	bombcamera = 1
training	cyb	bombsite	( 6163 -2850 -388 ) 180 axis
training	cyb	bombsite	( -4935 547 -310 ) -22 allies
training	cyb	bomb	( 0 0 0 ) 0 ( 0 0 0 ) 0 ( -826 -2604 -324 ) 180
training	snd	set	round_starttime = 8
training	snd	set	rounds_towin = 6
training	snd	set	changesides = 0
training	snd	set	bombcamera = 1
training	snd	bombsite	( -1744 -1226 -128 ) 0
training	snd	bombsite	( 4731 1871 -404 ) 180
training	snd	bomb	( -4751 420 -308 ) 70 ( 2003 -2766 -339 ) 180 ( 0 0 0 ) 0
# map	void	modes	ft
