# Countdown radio spawn origins, harvested from the countdown mod's per-map scripts (countdown/<map>.scr).
# Consumed by docs/tools/gen_countdown_maps.py. Do NOT hand-edit; re-harvest from source.
# Format: <mapname>	<origin vector>   (one row per candidate radio spawn; the mode picks one at random)
obj_team1	( 4829.44 4089.92 -279.07 )
obj_team1	( 2917.90 2783.28 -245.54 )
obj_team1	( 3065.62 2911.14 -71.88 )
obj_team1	( 2335.14 3141.89 -217.94 )
obj_team1	( 2716.87 4235.13 19.13 )
obj_team1	( 4580.85 1479.46 -349.65 )
obj_team1	( 4528.30 1302.14 -351.81 )
obj_team1	( 4356.15 1856.87 -167.88 )
obj_team1	( 3226.82 1364.84 -282.97 )
obj_team1	( 3480.21 2255.51 -201.18 )
obj_team1	( 3471.13 2822.51 -209.96 )
obj_team1	( 21.96 251.00 -357.44 )
obj_team1	( 1576.86 -44.55 -279.88 )
obj_team1	( 1319.13 -184.87 -279.88 )
obj_team1	( 5531.53 -13.89 -419.88 )
obj_team1	(  3096 3173 -228 )
obj_team2	( 1236.43 1989.03 -575.88 )
obj_team2	( 95.75 1149.64 -511.88 )
obj_team2	( 411.19 1135.13 -223.88 )
obj_team2	( 368.41 621.46 0.13 )
obj_team2	( 368.87 511.13 -239.88 )
obj_team2	( 1020.18 786.93 -217.88 )
obj_team2	( 850.86 2523.82 -447.88 )
obj_team2	( 704.87 1516.21 0.13 )
obj_team2	( 171 2009 -374 )
obj_team3	( 334.25 -1230.78 -501.88 )
obj_team3	( 1134.41 -1226.44 -503.88 )
obj_team3	( 2581.79 -112.02 -571.88 )
obj_team3	( 1676.80 94.13 -127.88 )
obj_team3	( 604.97 -316.68 -547.88 )
obj_team3	( 1792.41 1011.19 256.13 )
obj_team3	( 3174.55 -4504.73 -458.13 )
obj_team3	( -453.72 -5144.63 -505.39 )
obj_team3	( -399.71 -3889.94 -436.68 )
obj_team3	( 2556.46 -3376.76 -394.56 )
obj_team3	( 3029.50 -2574.53 -248.08 )
obj_team3	( 2256.64 -1904.85 -323.88 )
obj_team3	( -608.00 -1621.71 -483.08 )
obj_team3	( 562.93 -2042.52 -353.34 )
obj_team3	( 794 -1034 275 )
obj_team4	( 1284.00 -804.00 192.13 )
obj_team4	( 97.62 -596.27 32.13 )
obj_team4	( -79.38 -49.08 16.13 )
obj_team4	( -43.70 511.35 32.12 )
obj_team4	( -1311.13 887.80 248.13 )
obj_team4	( -1247.44 1093.87 432.13 )
obj_team4	( -1212.83 1023.13 608.13 )
obj_team4	( -432.07 1368.52 728.13 )
obj_team4	( 405.25 1727.52 240.13 )
obj_team4	( 1103.15 1449.85 240.13 )
obj_team4	( -11.42 1329.40 240.13 )
obj_team4	( 668.53 2730.60 264.13 )
obj_team4	( 527.13 2559.13 264.13 )
obj_team4	( 783.30 3302.20 240.13 )
obj_team4	( 1549.09 2850.55 240.13 )
obj_team4	( 16.43 2677.56 16.13 )
obj_team4	( 715.07 4660.59 240.13 )
obj_team4	( -732.90 2182.16 248.13 )
obj_team4	( -1390.83 1310.57 248.13 )
obj_team4	( 337 1154 264 )
thefalls	( 1892.88 -1958.00 -208.00)
thefalls	(-855.95 628.68 -1614.23 )
thefalls	(1037.74 -722.21 -998.88 )
thefalls	(-1074.70 -1761.39 -925.88 )
thefalls	(1892.88 -1958.00 -208.00 )
toysoldiers	( 258 286 80 )
toysoldiers	( 673 -380 120 )
toysoldiers	( -34 -375 136 )
toysoldiers	( -777 -553 120 )
toysoldiers	( -791 85 136 )
toysoldiers	( -120 -135 0 )
training	( -1888.87 -875.77 -309.88  )
training	( -1959.22 -92.52 -343.73 )
training	( -1571.51 -1605.91 -341.86 )
training	( 68.14 -2076.46 -321.88 )
training	( 1013.44 -3602.80 -387.88 )
training	( 2729.92 -2846.62 -387.88 )
training	( 22.00 -3457.16 -387.88 )
