# BaseBuilder station data harvested from UBER-MODS-v8.00-MOHAA (searingwolfe/UBER-MODS-v8.00-MOHAA),
# alienx/basebuild.scr's per-map `exec ...::basebuild ( origin ) "model" ...` station placements.
# '# map <name> main <params>' rows carry the map's basebuild::main args; data rows are '<map>	<station args>'.
# Consumed by docs/tools/gen_basebuild_maps.py -> coop_mod/mp_basebuild_stations.scr. Do not hand-edit.
# map	m1l1	main	800 1000 500 1 1 0 0 0
m2l2c	( -1131.13 -7004.60 -511.88 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m2l2c	( -1231.13 -7004.60 -511.88 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m2l2c	( 3116.87 -6948.81 -511.88 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m2l2c	( 3016.87 -6948.81 -511.88 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m2l2c	( 2916.87 -6948.81 -511.88 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m2l2c	( 2816.87 -6948.81 -511.88 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m2l2c	( 2716.87 -6948.81 -511.88 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m2l2c	( 2616.87 -6948.81 -511.88 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m2l2c	( 2516.87 -6948.81 -511.88 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m2l2c	( 2416.87 -6948.81 -511.88 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m2l3	main	800 1000 500 1 1 0 0 0
m2l3	( 20 -23 -511 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m2l3	( -80 -23 -511 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m2l3	( -180 -23 -511 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m2l3	( -280 -23 -511 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m2l3	( -380 -23 -511 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m2l3	( -480 -23 -511 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m2l3	( -580 -23 -511 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m2l3	( -680 -23 -511 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m2l3	( 1301 4648 -527 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m2l3	( 1301 4548 -527 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m2l3	( 1301 4448 -527 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m2l3	( 1301 4348 -527 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m2l3	( 1301 4248 -527 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m2l3	( 1301 4148 -527 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m2l3	( 1301 4048 -527 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m2l3	( 1301 3948 -527 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m3l1a	main	800 1000 500 1 1 0 0 0
m3l1a	( 2168.00 -672.00 -464.00 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l1a	( 2168.00 -572.00 -464.00 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l1a	( 2168.00 -472.00 -464.00 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l1a	( 2168.00 -372.00 -464.00 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l1a	( 2168.00 -272.00 -464.00 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l1a	( 2168.00 -172.00 -464.00 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l1a	( 2168.00 -72.00 -464.00 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l1a	( 2168.00 172.00 -464.00 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m3l1a	( 2568.00 3936.00 -310.00 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l1a	( 2468.00 3936.00 -310.00 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l1a	( 2368.00 3936.00 -310.00 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l1a	( 2268.00 3936.00 -310.00 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l1a	( 2168.00 3936.00 -310.00 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l1a	( 2068.00 3936.00 -310.00 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l1a	( 1968.00 3936.00 -310.00 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l1a	( 1868.00 3936.00 -310.00 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m3l1b	main	800 1000 500 1 1 0 0 0
m3l1b	( 630.21 -4740.40 -384.44 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l1b	( 730.21 -4740.40 -384.44 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l1b	( 830.21 -4740.40 -384.44 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l1b	( 930.21 -4740.40 -384.44 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l1b	( 1030.21 -4740.40 -380.44 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l1b	( 1130.21 -4740.40 -380.44 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l1b	( 1230.21 -4740.40 -384.44 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l1b	( 1330.21 -4740.40 -384.44 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m3l1b	( -808.16 -1210.04 350.32 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l1b	( -708.16 -1210.04 350.32 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l1b	( -608.16 -1210.04 350.32 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l1b	( -508.16 -1210.04 350.32 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l1b	( -408.16 -1210.04 350.32 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l1b	( -308.16 -1210.04 350.32 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l1b	( -208.16 -1210.04 350.32 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l1b	( -108.16 -1210.04 350.32 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m3l2	main	800 1000 500 1 1 0 0 0
m3l2	( -3992.87 2160.34 0.13 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l2	( -3992.87 2260.34 0.13 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l2	( -3992.87 2360.34 0.13 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l2	( -3992.87 2460.34 0.13 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l2	( -3992.87 2560.34 0.13 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l2	( -3992.87 2660.34 0.13 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l2	( -4092.87 2660.34 0.13 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l2	( -4192.87 2660.34 0.13 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m3l2	( -3002.49 -6184.21 -339.95 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l2	( -3002.49 -6284.21 -339.95 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l2	( -3002.49 -6384.21 -339.95 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l2	( -3002.49 -6484.21 -339.95 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l2	( -3002.49 -6584.21 -339.95 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l2	( -3002.49 -6684.21 -339.95 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l2	( -3002.49 -6784.21 -339.95 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l2	( -3002.49 -6884.21 -339.95 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m3l2	( 3599.93 -4037.07 -191.72 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l2	( 3499.93 -4037.07 -191.72 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l2	( 3399.93 -4037.07 -191.72 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l2	( 3299.93 -4037.07 -191.72 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l2	( 3199.93 -4037.07 -191.72 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l2	( 3099.93 -4037.07 -191.72 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l2	( 2999.93 -4037.07 -191.72 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l2	( 2899.93 -4037.07 -191.72 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m3l2	( 1133 -5725 25 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l2	( 1106 -5639 24 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l2	( 1082 -5556 22 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l2	( 1060 -5474 21 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l2	( 1018 -5412 21 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l2	( 993 -5333 18 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l2	( 967 -5254 16 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l2	( 945 -5179 14 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m3l3	main	800 1000 500 1 1 0 0 0
m3l3	( 579 -1721 -313 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l3	( 679 -1721 -313 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l3	( 779 -1721 -313 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l3	( 879 -1721 -313 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l3	( 979 -1721 -313 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l3	( 1079 -1721 -313 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l3	( 1179 -1721 -313 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l3	( 1279 -1721 -313 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m3l3	( -3893 -4357 -159 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l3	( -3993 -4357 -159 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l3	( -4093 -4357 -159 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l3	( -4193 -4357 -159 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l3	( -4293 -4357 -159 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l3	( -4393 -4357 -159 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l3	( -4493 -4357 -159 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l3	( -4593 -4357 -159 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m3l3	( 3862 624 -328 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l3	( 3862 524 -328 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l3	( 3862 424 -328 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l3	( 3862 324 -328 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l3	( 3862 224 -328 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l3	( 3862 124 -328 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l3	( 3862 24 -328 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l3	( 3862 -76 -328 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m3l3	( 2593 3556 -255 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l3	( 2693 3556 -255 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l3	( 2793 3556 -255 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l3	( 2893 3556 -255 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l3	( 2993 3556 -255 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l3	( 3093 3556 -255 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l3	( 3193 3556 -255 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l3	( 3293 3556 -255 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m3l3	( -2566 3343 -145 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m3l3	( -2566 3443 -132 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m3l3	( -2566 3543 -112 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m3l3	( -2566 3643 -105 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m3l3	( -2566 3743 -103 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m3l3	( -2566 3843 -96 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m3l3	( -2566 3943 -95 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m3l3	( -2566 4043 -93 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m4l0	main	800 1000 500 1 1 0 0 1
m4l0	( -3533 -4457 25 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l0	( -3533 -4557 35 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l0	( -3533 -4657 35 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l0	( -3533 -4757 19 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l0	( -3533 -4857 19 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l0	( -3533 -4957 19 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l0	( -3533 -5057 19 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l0	( -3533 -5157 19 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m4l0	( -3533 -5257 19 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m4l0	( -3533 -5357 19 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m4l0	( -3533 -5457 19 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m4l0	( -3533 -5557 19 ) "static/sandbag_longsegment.tik" 1 0 0 1 90 .5 0 0 1
m4l0	( -3533 -5657 19 ) "static/cabinet_large.tik" 1 1 1 1 90 .6 0 0 1
m4l0	( -3533 -5757 19 ) "static/bush_full.tik" 1 0 1 0 90 .5 0 0 0
m4l0	( 4572 2300 470 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l0	( 4472 2300 470 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l0	( 4372 2300 470 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l0	( 4272 2300 470 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l0	( 4172 2300 470 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l0	( 4072 2300 470 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l0	( 3972 2300 455 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l0	( 3872 2300 450 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m4l0	( 3772 2300 445 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m4l0	( 3672 2300 430 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m4l0	( 3572 2300 420 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m4l0	( 3472 2300 410 ) "static/sandbag_longsegment.tik" 1 0 0 1 90 .5 0 0 1
m4l0	( 3372 2300 390 ) "static/cabinet_large.tik" 1 1 1 1 90 .6 0 0 1
m4l0	( 3272 2300 380 ) "static/bush_full.tik" 1 0 1 0 90 .5 0 0 0
m4l0	( -1810 3900 -110 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l0	( -1910 3900 -110 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l0	( -2010 3900 -135 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l0	( -2110 3900 -150 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l0	( -2210 3900 -160 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l0	( -2310 3900 -160 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l0	( -2410 3900 -155 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l0	( -2510 3900 -145 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m4l0	( -2610 3900 -140 ) "static/bookcase.tik" 1 0 1 0 90 .5 0 0 1
m4l0	( -2710 3900 -125 ) "static/static_naziflag1.tik" 1 1 1 1 90 .5 0 0 1
m4l0	( -2810 3900 -125 ) "static/barbwire.tik" 1 0 1 1 90 .5 0 0 1
m4l0	( -2910 3900 -100 ) "static/sandbag_longsegment.tik" 1 0 0 1 90 .5 0 0 1
m4l0	( -3010 3900 -85 ) "static/cabinet_large.tik" 1 1 1 1 90 .6 0 0 1
m4l0	( -3110 3900 -80 ) "static/bush_full.tik" 1 0 1 0 90 .5 0 0 0
# map	m4l1	main	800 1000 500 1 1 0 0 1
m4l1	( -611.14 -4200.42 -165.67 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l1	( -711.14 -4100.42 -165.67 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l1	( -811.14 -4000.42 -165.67 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l1	( -911.14 -3900.42 -165.67 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l1	( -1111.14 -3800.42 -165.67 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l1	( -1311.14 -3750.42 -165.67 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l1	( -1411.14 -3600.42 -165.67 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l1	( -1511.14 -3550.42 -165.67 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m4l1	( 4497.64 -2640.57 30.23 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l1	( 4397.64 -2640.57 40.23 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l1	( 4297.64 -2640.57 40.23 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l1	( 4197.64 -2640.57 45.23 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l1	( 4097.64 -2640.57 50.23 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l1	( 3997.64 -2640.57 55.23 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l1	( 3897.64 -2640.57 60.23 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l1	( 3797.64 -2640.57 70.23 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m4l1	( 1039.13 2218.31 65.80 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l1	( 1139.13 2218.31 75.80 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l1	( 1239.13 2218.31 71.80 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l1	( 1339.13 2218.31 65.80 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l1	( 1439.13 2218.31 65.80 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l1	( 1039.13 2418.31 65.80 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l1	( 1039.13 2518.31 65.80 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l1	( 1039.13 2618.31 75.80 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m4l2	main	800 1000 500 1 1 0 0 1
m4l2	( 4643 2200 212 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l2	( 4743 2200 217 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l2	( 4843 2200 222 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l2	( 4943 2200 227 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l2	( 5043 2200 232 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l2	( 5143 2200 237 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l2	( 5243 2200 242 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l2	( 5343 2200 247 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m4l2	( -4229 -1270 0 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l2	( -4329 -1270 0 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l2	( -4429 -1270 0 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l2	( -4529 -1270 0 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l2	( -4629 -1270 0 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l2	( -4729 -1270 0 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l2	( -4829 -1270 0 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l2	( -4929 -1270 0 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m4l2	( -5900 3840 0 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l2	( -6000 3840 0 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l2	( -6100 3840 0 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l2	( -6200 3840 0 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l2	( -6300 3840 0 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l2	( -6400 3840 0 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l2	( -6500 3840 0 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l2	( -6600 3840 0 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m4l3	main	800 1000 500 1 1 0 0 1
m4l3	( -2986.74 -4111.13 -315.36 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l3	( -2986.74 -4211.13 -305.36 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l3	( -2986.74 -4311.13 -300.36 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l3	( -2986.74 -4411.13 -297.36 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l3	( -2986.74 -4511.13 -299.36 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l3	( -2986.74 -4611.13 -308.36 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l3	( -2986.74 -4711.13 -315.36 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l3	( -2986.74 -4811.13 -311.36 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m4l3	( -6030 1600 -12 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l3	( -6030 1700 -12 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l3	( -6030 1800 -12 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l3	( -6030 1900 -12 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l3	( -6030 2000 -12 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l3	( -6030 2100 -12 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l3	( -6030 2200 -12 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l3	( -6030 2300 -12 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
m4l3	( 2086.16 -66.42 -47.06 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m4l3	( 2086.16 -166.42 -47.06 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m4l3	( 2086.16 -266.42 -47.06 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m4l3	( 2086.16 -366.42 -47.06 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m4l3	( 2086.16 -466.42 -47.06 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
m4l3	( 2086.16 -566.42 -47.06 ) "static/bunkertable.tik" 1 1 1 0 90 .5 0 1 1
m4l3	( 2086.16 -666.42 -47.06 ) "static/banquet_table.tik" 1 0 1 1 90 .5 0 0 1
m4l3	( 2086.16 -766.42 -47.06 ) "static/bodies_tarp.tik" 1 1 1 1 90 .5 0 0 1
# map	m5l1a	main	800 1000 500 1 1 0 0 1
m5l1a	( 4900.74 -4240.13 31.93 ) "static/indycrate.tik" 1 0 1 0 90 .5 0 0 1
m5l1a	( 5100.74 -4439.13 -7.00 ) "statweapons/mg42_gun.tik" 1 1 0 0 90 .5 0 0 1
m5l1a	( 5100.74 -4539.13 6.00 ) "statweapons/flak88turret.tik" 1 1 .5 0 90 .25 0 0 1
m5l1a	( 5100.74 -4639.13 -1.00 ) "static/sandbag_link_main.tik" 1 0 0 1 90 .5 0 0 1
m5l1a	( 5100.74 -4739.13 -13.00 ) "static/indycrate.tik" 1 1 0 1 90 .5 1 0 1
